Date,Ask,Bid,Last,Volume (BTC),Volume (% of Total)
2014-06-21,439.99,434.01,439.0,7.13,1.15
2014-06-20,440.0,435.0,435.0,65.46,4.13
2014-06-19,447.5,440.02,440.0,45.78,3.76
2014-06-18,450.0,447.0,447.0,60.34,3.93
2014-06-17,445.0,444.0,445.0,107.4,5.19
2014-06-16,440.0,439.0,439.0,121.8,4.01
2014-06-15,428.0,418.0,428.0,43.91,2.4
2014-06-14,419.5,410.32,410.1,80.3,2.82
2014-06-13,434.0,430.0,428.0,89.89,1.85
2014-06-12,425.0,423.0,425.0,121.12,3.74
2014-06-11,468.9,453.11,453.1,126.86,6.14
2014-06-10,482.0,480.1,481.1,65.61,3.36
2014-06-09,485.9,480.0,480.0,70.37,5.7
2014-06-08,489.0,480.5,489.0,21.27,4.79
2014-06-07,485.0,480.0,480.0,24.53,2.47
2014-06-06,490.0,484.0,490.0,54.17,3.24
2014-06-05,493.5,486.5,493.5,107.45,4.71
2014-06-04,480.0,473.0,473.0,86.4,3.05
2014-06-01,475.0,468.1,475.0,128.6,3.7
2014-05-31,448.98,444.1,447.0,56.6,4.11
2014-05-30,448.9,440.0,448.9,146.04,4.79
2014-05-29,414.8,410.35,410.35,29.85,1.94
2014-05-28,418.0,410.0,411.0,38.69,1.97
2014-05-27,425.8,416.0,416.0,87.97,2.26
2014-05-26,429.0,425.1,425.0,94.44,3.71
2014-05-25,417.0,414.5,417.0,161.29,4.78
2014-05-24,384.95,379.5,379.5,33.31,2.65
2014-05-23,387.2,386.0,390.0,132.22,3.69
2014-05-22,381.5,378.7,376.0,172.93,4.88
2014-05-21,364.49,359.0,365.0,89.47,4.1
2014-05-20,352.55,351.1,352.55,170.8,4.49
2014-05-19,326.87,325.1,326.87,34.4,3.12
2014-05-18,333.0,325.2,325.2,6.59,1.11
2014-05-17,332.0,326.5,325.0,33.21,5.72
2014-05-16,331.0,330.0,331.0,60.95,5.43
2014-05-15,332.0,330.0,332.0,53.83,2.55
2014-05-14,324.0,319.0,324.0,37.75,1.59
2014-05-13,322.1,316.27,322.1,32.66,1.93
2014-05-12,323.8,316.1,316.0,71.67,5.94
2014-05-11,322.0,317.0,324.0,33.12,2.7
2014-05-10,329.0,327.1,329.0,13.41,1.82
2014-05-08,320.0,315.0,320.0,35.88,2.4
2014-05-07,320.0,319.98,319.98,80.84,2.99
2014-05-06,312.0,309.0,306.0,49.72,2.93
2014-05-05,309.1,309.0,309.1,78.65,4.93
2014-05-04,315.0,310.01,309.09,26.55,3.75
2014-05-03,319.0,315.0,319.0,40.42,3.38
2014-05-02,326.89,322.23,326.89,35.05,2.82
2014-05-01,330.0,327.01,330.0,23.88,1.32
2014-04-30,327.85,325.01,327.9,81.36,4.59
2014-04-29,326.0,323.1,328.0,107.37,4.91
2014-04-28,324.69,322.0,327.0,110.99,4.78
2014-04-27,322.0,321.0,322.0,43.5,3.72
2014-04-26,334.99,334.0,334.99,16.51,1.35
2014-04-22,360.0,356.0,356.0,36.44,2.71
2014-04-21,363.0,361.0,361.0,13.62,1.43
2014-04-20,367.99,359.5,367.99,33.13,3.88
2014-04-19,366.5,361.0,366.0,85.78,6.67
2014-04-18,355.0,350.05,355.0,89.65,6.32
2014-04-17,367.49,360.0,363.0,112.5,3.94
2014-04-15,363.95,360.0,364.88,166.19,3.2
